"","DateTime","gro","doy","twd"
"1",2022-05-10,0,130,0
"2",2022-05-11,0,131,0
"3",2022-05-12,0,132,0
"4",2022-05-13,0,133,0
"5",2022-05-14,0,134,0
"6",2022-05-15,0,135,0
"7",2022-05-16,0,136,0
"8",2022-05-17,0,137,0
"9",2022-05-18,0,138,0
"10",2022-05-19,0,139,0
"11",2022-05-20,0,140,0
"12",2022-05-21,0,141,0
"13",2022-05-22,0,142,0
"14",2022-05-23,0,143,0
"15",2022-05-24,0,144,0
"16",2022-05-25,0,145,0
"17",2022-05-26,0,146,0
"18",2022-05-27,0,147,0
"19",2022-05-28,0,148,0
"20",2022-05-29,0,149,0
"21",2022-05-30,0,150,0
"22",2022-05-31,0,151,0
"23",2022-06-01,0,152,0
"24",2022-06-02,0,153,0
"25",2022-06-03,0,154,0
"26",2022-06-04,0,155,0
"27",2022-06-05,0,156,0
"28",2022-06-06,0,157,0
"29",2022-06-07,0,158,0
"30",2022-06-08,0,159,0
"31",2022-06-09,0,160,0
"32",2022-06-10,0,161,43
"33",2022-06-11,0,162,48
"34",2022-06-12,0,163,42
"35",2022-06-13,0,164,37
"36",2022-06-14,0,165,39
"37",2022-06-15,0,166,36
"38",2022-06-16,0,167,41
"39",2022-06-17,0,168,41
"40",2022-06-18,0,169,65
"41",2022-06-19,0,170,66
"42",2022-06-20,0,171,58
"43",2022-06-21,109,172,0
"44",2022-06-22,188,173,0
"45",2022-06-23,190,174,0
"46",2022-06-24,214,175,0
"47",2022-06-25,232,176,0
"48",2022-06-26,242,177,0
"49",2022-06-27,256,178,0
"50",2022-06-28,266,179,0
"51",2022-06-29,310,180,0
"52",2022-06-30,344,181,0
"53",2022-07-01,369,182,0
"54",2022-07-02,411,183,0
"55",2022-07-03,445,184,0
"56",2022-07-04,499,185,0
"57",2022-07-05,528,186,0
"58",2022-07-06,611,187,0
"59",2022-07-07,635,188,0
"60",2022-07-08,668,189,0
"61",2022-07-09,715,190,0
"62",2022-07-10,747,191,0
"63",2022-07-11,813,192,0
"64",2022-07-12,863,193,0
"65",2022-07-13,908,194,0
"66",2022-07-14,969,195,0
"67",2022-07-15,1011,196,0
"68",2022-07-16,1065,197,0
"69",2022-07-17,1105,198,0
"70",2022-07-18,1155,199,0
"71",2022-07-19,1190,200,0
"72",2022-07-20,1225,201,0
"73",2022-07-21,1246,202,0
"74",2022-07-22,1263,203,0
"75",2022-07-23,1318,204,0
"76",2022-07-24,1347,205,0
"77",2022-07-25,1370,206,0
"78",2022-07-26,1389,207,0
"79",2022-07-27,1408,208,0
"80",2022-07-28,1434,209,0
"81",2022-07-29,1454,210,0
"82",2022-07-30,1460,211,0
"83",2022-07-31,1461,212,0
"84",2022-08-01,1463,213,0
"85",2022-08-02,1472,214,0
"86",2022-08-03,1504,215,0
"87",2022-08-04,1516,216,0
"88",2022-08-05,1539,217,0
"89",2022-08-06,1561,218,0
"90",2022-08-07,1589,219,0
"91",2022-08-08,1598,220,0
"92",2022-08-09,1603,221,0
"93",2022-08-10,1626,222,0
"94",2022-08-11,1638,223,0
"95",2022-08-12,1726,224,0
"96",2022-08-13,1726,225,14
"97",2022-08-14,1726,226,8
"98",2022-08-15,1726,227,2
"99",2022-08-16,1729,228,0
"100",2022-08-17,1734,229,0
"101",2022-08-18,1734,230,1
"102",2022-08-19,1734,231,4
"103",2022-08-20,1736,232,0
"104",2022-08-21,1748,233,0
"105",2022-08-22,1748,234,1
"106",2022-08-23,1748,235,0
"107",2022-08-24,1802,236,0
"108",2022-08-25,1807,237,0
"109",2022-08-26,1807,238,1
"110",2022-08-27,1807,239,1
"111",2022-08-28,1807,240,0
"112",2022-08-29,1810,241,0
"113",2022-08-30,1819,242,0
"114",2022-08-31,1824,243,0
"115",2022-09-01,1832,244,0
"116",2022-09-02,1840,245,0
"117",2022-09-03,1840,246,11
"118",2022-09-04,1840,247,11
"119",2022-09-05,1840,248,8
"120",2022-09-06,1840,249,1
"121",2022-09-07,1840,250,1
"122",2022-09-08,1843,251,0
"123",2022-09-09,1845,252,0
"124",2022-09-10,1845,253,4
"125",2022-09-11,1845,254,3
"126",2022-09-12,1845,255,9
"127",2022-09-13,1845,256,15
"128",2022-09-14,1845,257,17
"129",2022-09-15,1845,258,23
"130",2022-09-16,1845,259,17
"131",2022-09-17,1845,260,8
"132",2022-09-18,1845,261,5
"133",2022-09-19,1852,262,0
"134",2022-09-20,1852,263,53
"135",2022-09-21,1852,264,52
"136",2022-09-22,1852,265,29
"137",2022-09-23,1852,266,50
"138",2022-09-24,1852,267,47
"139",2022-09-25,1852,268,35
"140",2022-09-26,1852,269,31
"141",2022-09-27,1852,270,29
"142",2022-09-28,1852,271,36
"143",2022-09-29,1852,272,17
