Year,DOY,HHMM,u_1[cm3 s-1],u_2[cm3 s-1],u_3[cm3 s-1],u_4[cm3 s-1],u_5[cm3 s-1],u_6[cm3 s-1],u_7[cm3 s-1],u_8[cm3 s-1],u_9[cm3 s-1],u_10[cm3 s-1],u_11[cm3 s-1],u_12[cm3 s-1],u_mean[cm3 s-1],u_mean[mm s-1],u_mean[W m-2],u_mean[kgm-2s-1],u_mean[?],u_mean[mm d-1]
2022,14,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,14,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,15,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,15,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,16,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
